title,year,cast,director,rating,total_rating_count,genres
Harakiri,1962,"Akiji Kobayashi, Jo Azumi, Minoru Miyagi, Ichirō Nakatani, Shûichirô Narita",Masaki Kobayashi,4.69 out of 5,"150,861","History, Drama, Action"
12 Angry Men,1957,"Robert Webber, Ed Begley, John Savoca, Tom Gorman, John Fiedler",Sidney Lumet,4.63 out of 5,"941,491",Drama
Come and See,1985,"Jüri Lumiste, Anatoly Slivnikov, Igor Bezyaev, Aleksei Kravchenko, Aleksandr Solopov",Elem Klimov,4.63 out of 5,"325,830","War, Drama"
Seven Samurai,1954,"Gen Shimizu, Ichirō Chiba, Yasumasa Ônishi, Akira Yamada, Isao Yamagata",Akira Kurosawa,4.61 out of 5,"323,437","Drama, Action"
High and Low,1963,"Kenjirō Ishiyama, Yoshio Tsuchiya, Gen Shimizu, Kyōko Kagawa, Akira Nagoya",Akira Kurosawa,4.60 out of 5,"125,407","Mystery, Thriller, Crime, Drama"
The Human Condition III: A Soldier's Prayer,1961,"Tetsuo Mizoi, Hideo Fukuhara, Fujio Suga, Michiyo Aratama, Miyoko Nakamura",Masaki Kobayashi,4.60 out of 5,"19,683","History, Drama, War"
The Godfather Part II,1974,"Paul B. Brown, Bruno Kirby, Leopoldo Trieste, Troy Donahue, John Aprea",Francis Ford Coppola,4.59 out of 5,"951,882","Crime, Drama"
The Shawshank Redemption,1994,"Mark Rolston, John D. Craig, Brian Brophy, Jeffrey DeMunn, Gary Lee Davis",Frank Darabont,4.57 out of 5,"1,836,475","Crime, Drama"
Parasite,2019,"Shin Seung-min, Rosie Peralta, Lee Dong-yong, Jung Ji-so, Jung Hyeon-jun",Bong Joon Ho,4.55 out of 5,"3,814,203","Comedy, Thriller, Drama"
City of God,2002,"Leandro Dias Batista, Ricardo Rocha da Silva, Jonas Michel, Luiz Carlos Ribeiro Seixas, Adão Xalebaradã",Fernando Meirelles,4.54 out of 5,"760,212","Drama, Crime"
Yi Yi,2000,"Leon Dai Li-Jen, Yu-Lung Yin, Katherine Lee, Szu-Chia Huang, Ray Fan",Edward Yang,4.54 out of 5,"107,632",Drama
The Godfather,1972,"Richard Conte, Filomena Spagnuolo, John Martino, John Marley, Jeannie Linero",Francis Ford Coppola,4.54 out of 5,"1,827,353","Crime, Drama"
Schindler's List,1993,"Zuzanna Lipiec, Maria Peszek, Jonathan Sagall, Katarzyna Śmiechowicz, Tadeusz Huk",Steven Spielberg,4.53 out of 5,"996,015","History, Drama, War"
The Human Condition I: No Greater Love,1959,"Akio Isono, Eitarō Ozawa, Ineko Arima, Ryuji Kita, Shinsuke Ashida",Masaki Kobayashi,4.52 out of 5,"26,752","War, Drama, History"
The Lord of the Rings: The Return of the King,2003,"Joel Tobeck, Rick Porras, Billy Boyd, John Bach, Peter Tait",Peter Jackson,4.52 out of 5,"1,517,266","Fantasy, Adventure, Action"
Ikiru,1952,"Shigeo Katō, Sōjirō Motoki, Kumeko Urabe, Takeo Nagashima, Jun'ichirō Mukai",Akira Kurosawa,4.52 out of 5,"136,979",Drama
Ran,1985,"Tetsuo Yamashita, Yoshiko Miyazaki, Susumu Terajima, Masaaki Sasaki, Norio Matsui",Akira Kurosawa,4.51 out of 5,"166,682","Drama, History, Action"
La Haine,1995,"Benoît Magimel, Arash Mansour, Eric Pujol, Philippe Nahon, Karim Belkhadra",Mathieu Kassovitz,4.51 out of 5,"658,092",Drama
A Brighter Summer Day,1991,"Chiu-Yun Lu, Stephanie Lai, Chung-Chang Tuan, Ming-Che Lee, Yen Hung-ya",Edward Yang,4.50 out of 5,"60,654","Drama, Crime, Romance"
"The Good, the Bad and the Ugly",1966,"Amerigo Castrighella, Saturno Cerra, Silvana Bacci, Lee Van Cleef, Antonio Casas",Sergio Leone,4.50 out of 5,"516,442",Western
