title,year,cast,director,rating,total_rating_count,genres
Harakiri,1962,"Tōru Takeuchi, Konosuke Takemoto, Yoshirō Aoki, Akira Ishihama, Ichirō Nakatani",Masaki Kobayashi,4.69 out of 5,151010,"History, Drama, Action"
12 Angry Men,1957,"John Savoca, Robert Webber, Rudy Bond, James Kelly, Jack Warden",Sidney Lumet,4.63 out of 5,942283,Drama
Come and See,1985,"Igor Gnevashev, Olga Mironova, Yevgeniya Polyakova, Gennadiy Yelkin, Liubomiras Laucevicius",Elem Klimov,4.63 out of 5,326077,"War, Drama"
Seven Samurai,1954,"Shigemi Sunagawa, Yoshio Kosugi, Masaaki Tachibana, Kōji Iwamoto, Tatsuya Nakadai",Akira Kurosawa,4.61 out of 5,323615,"Drama, Action"
High and Low,1963,"Tatsuya Mihashi, Jun Kondô, Toshio Egi, Hiroshi Unayama, Jun Tazaki",Akira Kurosawa,4.60 out of 5,125498,"Mystery, Thriller, Crime, Drama"
The Human Condition III: A Soldier's Prayer,1961,"Chishū Ryū, Reiko Hitomi, Torauemon Utazawa, Nobuo Kaneko, Kanji Ōsugi",Masaki Kobayashi,4.60 out of 5,19697,"History, Drama, War"
The Godfather Part II,1974,"John Aprea, Elda Maida, Sho Kosugi, G. D. Spradlin, Morgana King",Francis Ford Coppola,4.59 out of 5,952630,"Crime, Drama"
The Shawshank Redemption,1994,"Rohn Thomas, Gary A. Jones, Eugene C. DePasquale, Brian Libby, Joseph Ragno",Frank Darabont,4.57 out of 5,1838128,"Crime, Drama"
Parasite,2019,"Choi Ji-won, Ko Kwan-jae, Yoon Young-woo, Lee Joo-hyung, Lee Sang-kyung",Bong Joon Ho,4.55 out of 5,3816756,"Comedy, Thriller, Drama"
City of God,2002,"Luciana Roque, Phellipe Haagensen, João Soares, Ramon Francisco, Leandro Dias Batista",Fernando Meirelles,4.54 out of 5,760828,"Drama, Crime"
Yi Yi,2000,"Tang Ru-Yun, Tzu-chieh Miao, Tzu-Yen Yeh, Wei-Chun Wu, Ming-Min Yeh",Edward Yang,4.54 out of 5,107698,Drama
The Godfather,1972,"Roman Coppola, Vito Scotti, Tony Lip, Morgana King, Louis Guss",Francis Ford Coppola,4.54 out of 5,1829214,"Crime, Drama"
Schindler's List,1993,"Radosław Krzyżowski, Jan Jurewicz, Uri Avrahami, Bettina Kupfer, Marek Wrona",Steven Spielberg,4.53 out of 5,996877,"History, Drama, War"
The Human Condition I: No Greater Love,1959,"Jun Ōtomo, Kanji Ōsugi, Isao Suenaga, Nobuo Nakamura, Keiji Sada",Masaki Kobayashi,4.53 out of 5,26779,"War, Drama, History"
The Lord of the Rings: The Return of the King,2003,"Pete Smith, Sadwyn Brophy, Jason Fitch, Liv Tyler, Harry Sinclair",Peter Jackson,4.52 out of 5,1518425,"Fantasy, Adventure, Action"
Ikiru,1952,"Nobuo Kaneko, Nobuo Nakamura, Minosuke Yamada, Toranosuke Ogawa, Atsushi Watanabe",Akira Kurosawa,4.52 out of 5,137063,Drama
Ran,1985,"Haruko Tōgō, Masayuki Yui, Jun Tazaki, Takao Zushi, Kumeko Otowa",Akira Kurosawa,4.51 out of 5,166822,"Drama, History, Action"
La Haine,1995,"Patrick Médioni, Christophe Rossignon, Choukri Gabteni, Christian Moro, Marc Duret",Mathieu Kassovitz,4.51 out of 5,658958,Drama
A Brighter Summer Day,1991,"Tang Ru-Yun, Chuan Wang, Tai-song Chen, Pao-Kuei Sun, Ming-Ying Chiang",Edward Yang,4.50 out of 5,60675,"Drama, Crime, Romance"
"The Good, the Bad and the Ugly",1966,"Alberigo Donadeo, Attilio Dottesio, Joseph Bradley, Rada Rassimov, Clint Eastwood",Sergio Leone,4.50 out of 5,516913,Western
Le Trou,1960,"Paul Préboist, Philippe Leroy, Dominique Zardi, Marcel Rouzé, Philippe Dumat",Jacques Becker,4.48 out of 5,36186,"Drama, Crime, Thriller"
Cinema Paradiso,1988,"Philippe Noiret, Jacques Perrin, Nicola Di Pinto, Nino Terzo, Angela Leontini",Giuseppe Tornatore,4.48 out of 5,343360,"Drama, Romance"
The Dark Knight,2008,"Christian Bale, Richard Dillane, Danny Goldring, Ron Dean, Amit Shah",Christopher Nolan,4.48 out of 5,3005982,"Action, Drama, Thriller, Crime"
Autumn Sonata,1978,"Halvar Björk, Lena Nyman, Ingrid Bergman, Gunnar Björnstrand, Arne Bang-Hansen",Ingmar Bergman,4.48 out of 5,99915,Drama
GoodFellas,1990,"Philip Suriano, H. Clay Dear, Suzanne Shepherd, LoNardo, Gayle Lewis",Martin Scorsese,4.47 out of 5,1467068,"Drama, Crime"
Grave of the Fireflies,1988,"Hiroshi Tanaka, Yoshio Matsuoka, Michio Denpo, Tsutomu Tatsumi, Kiyoshi Yanagawa",Isao Takahata,4.47 out of 5,714446,"War, Drama, Animation"
Neon Genesis Evangelion: The End of Evangelion,1997,"Hiro Yuuki, Koichi Yamadera, Fumihiko Tachiki, Yuko Miyamura, Miki Nagasawa","Hideaki Anno, Kazuya Tsurumaki",4.47 out of 5,371621,"Science Fiction, Drama, Action, Animation"
Woman in the Dunes,1964,"Eiji Okada, Kyôko Kishida, Kōji Mitsui, Hiroko Itō",Hiroshi Teshigahara,4.46 out of 5,52169,"Thriller, Drama"
There Will Be Blood,2007,"Huey Rhudy, Coco Leigh, Robert Caroline, John Chitwood, David Warshofsky",Paul Thomas Anderson,4.46 out of 5,887535,Drama
Spirited Away,2001,"Yo Oizumi, Makiko Oku, Naoto Kaji, Tetsurô Ishibashi, Bunta Sugawara",Hayao Miyazaki,4.45 out of 5,2525617,"Family, Fantasy, Animation"
Paths of Glory,1957,"Wayne Morris, Kem Dibbs, John Stein, Marshall Rainer, Harold Benedict",Stanley Kubrick,4.45 out of 5,229186,"War, History, Drama"
The Human Condition II: Road to Eternity,1959,"Izumi Hara, Tōru Takeuchi, Kokinji Katsura, Sen Yano, Isao Suenaga",Masaki Kobayashi,4.44 out of 5,19911,"History, Drama, War"
Apocalypse Now,1979,"Henry Strzalkowski, Dennis Hopper, Glenn Walken, G. D. Spradlin, Colleen Camp",Francis Ford Coppola,4.44 out of 5,726270,"Drama, War"
Andrei Rublev,1966,"Iskender Ryskulov, Nikolay Glazkov, G. Borisovskiy, Mikhail Kononov, Igor Donskoy",Andrei Tarkovsky,4.44 out of 5,75121,"Drama, History"
The Apartment,1960,"Benny Burt, Paul Power, Eugene Jackson, Joyce Jameson, Sid Troy",Billy Wilder,4.44 out of 5,257496,"Drama, Romance, Comedy"
Tokyo Story,1953,"Chishū Ryū, Hisao Toake, Toyo Takahashi, Nobuo Nakamura, Kyōko Kagawa",Yasujirō Ozu,4.44 out of 5,117580,Drama
Sunset Boulevard,1950,"Henry Wilcoxon, Lloyd Gough, Jack Webb, Cecil B. DeMille, Kenneth Gibson",Billy Wilder,4.44 out of 5,266435,Drama
The Passion of Joan of Arc,1928,"Antonin Artaud, Alexandre Mihalesco, Maurice Schutz, Henri Gaultier, Paul Delauzac",Carl Theodor Dreyer,4.43 out of 5,110466,"History, Drama"
The Cranes Are Flying,1957,"Leonid Knyazev, Konstantin Kadochnikov, Olga Dzisko, Nikolay Smorchkov, Lidiya Genel-Ablova",Mikhail Kalatozov,4.43 out of 5,43960,"Romance, War, Drama"
Portrait of a Lady on Fire,2019,"Adèle Haenel, Armande Boulanger, Clément Bouyssou, Cécile Morel, Noémie Merlant",Céline Sciamma,4.43 out of 5,828743,"History, Drama, Romance"
Incendies,2010,"Hamed Najem, Hussein Sami, Lubna Azabal, Allen Altman, Baya Belal",Denis Villeneuve,4.43 out of 5,349170,"Mystery, War, Drama"
Whiplash,2014,"Adrian Burks, Miles Teller, Tyler Kimball, Kavita Patil, Nate Lang",Damien Chazelle,4.42 out of 5,2979864,"Drama, Music"
Mishima: A Life in Four Chapters,1985,"Sachiko Akagi, Chishū Ryū, Yasuhiro Arai, Naoko Ohtani, Alan Poul",Paul Schrader,4.42 out of 5,84592,Drama
Spider-Man: Across the Spider-Verse,2023,"Libby Thomas Dickey, Phil Lord, Mahershala Ali, Ayo Edebiri, Amanda Troop","Justin K. Thompson, Joaquim Dos Santos, Kemp Powers",4.42 out of 5,2495087,"Animation, Adventure, Science Fiction, Action"
Fanny and Alexander,1982,"Jarl Kulle, Ernst Günther, Jan Malmsjö, Marrit Ohlsson, Heinz Hopf",Ingmar Bergman,4.42 out of 5,59483,"Mystery, Drama, Fantasy"
Close-Up,1990,"Davood Goodarzi, Ahmad Reza Moayed Mohseni, Hossain Sabzian, Nayer Mohseni Zonoozi, Haj Ali Reza Ahmadi",Abbas Kiarostami,4.42 out of 5,102066,"Drama, Crime"
Memories of Murder,2003,"Shin Un-seop, Kwon Hyeok-pung, Jo Deok-jae, Jeon Mi-seon, Choi Jong-ryul",Bong Joon Ho,4.42 out of 5,604968,"Thriller, Drama, Crime"
The Battle of Algiers,1966,"Franco Moruzzi, Noureddine Brahimi, Jean Martin, Tomasso Neri, Samia Kerbash",Gillo Pontecorvo,4.42 out of 5,84564,"War, History, Drama"
The Lord of the Rings: The Two Towers,2002,"Paris Howe Strewe, Gareth Reeves, Brad Dourif, Raymond Trickitt, John Leigh",Peter Jackson,4.41 out of 5,1480089,"Fantasy, Adventure, Action"
It's a Wonderful Life,1946,"Jeanne Gail, Effie Laird, Arthur Stuart Hull, Jack Lomas, Jimmy Hawkins",Frank Capra,4.41 out of 5,528358,"Family, Drama, Fantasy"
Stalker,1979,"Evgeniy Kostin, Aleksandr Kaydanovskiy, Anatoliy Solonitsyn, Faime Jurno, Nikolay Grinko",Andrei Tarkovsky,4.41 out of 5,279108,"Drama, Science Fiction"
Interstellar,2014,"John Lithgow, Leah Cairns, Josh Stewart, Benjamin Hardy, Collette Wolfe",Christopher Nolan,4.41 out of 5,3720095,"Science Fiction, Drama, Adventure"
The Ascent,1977,"Mariya Vinogradova, Aleksandra Kharitonova, Anatoli Chebotaryov, Viktoriya Goldentul, Nikolai Smirnov",Larisa Shepitko,4.41 out of 5,35816,"Drama, War"
Sansho the Bailiff,1954,"Bontarō Miake, Eitarō Shindō, Masahiko Tsugawa, Kimiko Tachibana, Ichirō Amano",Kenji Mizoguchi,4.41 out of 5,31972,Drama
Spider-Man: Into the Spider-Verse,2018,"Nick Jaine, Natalie Morales, Jessica Mikayla Adams, Claudia Choi, Adam Brown","Peter Ramsey, Rodney Rothman, Bob Persichetti",4.41 out of 5,3189707,"Adventure, Animation, Science Fiction, Action"
The Empire Strikes Back,1980,"Colin Hunt, Jeremy Bulloch, Peter Mayhew, Jack McKenzie, Jim Dowdall",Irvin Kershner,4.40 out of 5,1546330,"Action, Science Fiction, Adventure"
I Am Cuba,1964,"Manuel J. Mora, Roberto Cabrera, José Gallardo, Luisa María Jiménez Rodríquez, Rosendo Lamadriz",Mikhail Kalatozov,4.41 out of 5,31222,Drama
The Handmaiden,2016,"Lee Dong-hwi, Jo Eun-hyung, Han Ha-na, Do-Hyung Kim, Lee In-chul",Park Chan-wook,4.40 out of 5,580328,"Thriller, Romance, Drama"
Dune: Part Two,2024,"Nicola Brome, Abdelaziz Boumane, Xavier Alba Royo, Dora Kápolnai-Schvab, Adil Achraf Sayd",Denis Villeneuve,4.40 out of 5,2332639,"Adventure, Science Fiction"
The Red Shoes,1948,"Derek Elphinstone, Marius Goring, Bill Shine, Patrick Troughton, Anton Walbrook","Michael Powell, Emeric Pressburger",4.40 out of 5,119554,"Drama, Romance"
Do the Right Thing,1989,"Travell Lee Toulson, Angel Ramirez Jr., Frankie Faison, Erik Dellums, Danny Aiello",Spike Lee,4.40 out of 5,392166,Drama
Persona,1966,"Jörgen Lindström, Bibi Andersson, Gunnar Björnstrand, Margaretha Krook, Liv Ullmann",Ingmar Bergman,4.40 out of 5,325074,Drama
A Woman Under the Influence,1974,"Matthew Cassel, Elsie Ames, Leon Wagner, Eddie Shaw, James Joyce",John Cassavetes,4.40 out of 5,107470,Drama
Barry Lyndon,1975,"Patrick Dawson, Hans Meyer, Roy Spencer, George Holdcroft, John Bindon",Stanley Kubrick,4.40 out of 5,272276,"Drama, History, War, Romance"
The Pianist,2002,"Dorota Liliental, John Keogh, Tomasz Tyndyk, Ronan Vibert, Ben Harlan",Roman Polanski,4.39 out of 5,880463,"Drama, War"
Once Upon a Time in the West,1968,"Marco Zuanelli, Aldo Berti, Fabio Testi, Enzo Santaniello, Dino Mele",Sergio Leone,4.39 out of 5,210819,"Drama, Western"
Perfect Blue,1997,"Shokkâ Ôno, Rica Matsumoto, Rofuto Purasu Wan Burazâzu, Emi Motoi, Masaaki Okura",Satoshi Kon,4.39 out of 5,772075,"Thriller, Animation, Horror"
In the Mood for Love,2000,"Maggie Cheung, Paulyn Sun, Charles de Gaulle, Siu Ping-Lam, Tony Leung",Wong Kar-wai,4.39 out of 5,659002,"Drama, Romance"
Nights of Cabiria,1957,"Franca Marzi, Lina Ferri, Amedeo Nazzari, Ennio Girolami, Ines Ferrari",Federico Fellini,4.39 out of 5,65687,Drama
"Paris, Texas",1984,"Tom Farrell, Bernhard Wicki, Sharon Menzel, Viva, Harry Dean Stanton",Wim Wenders,4.39 out of 5,463808,Drama
Nobody Knows,2004,"Ken'ichi Endô, Ayu Kitaura, Yukiko Okamoto, Kazuyoshi Kushida, Hiei Kimura",Hirokazu Kore-eda,4.39 out of 5,73999,Drama
Princess Mononoke,1997,"Makoto Satō, Yoshimasa Kondo, Tetsu Watanabe, Akira Nagoya, Kiho Iinuma",Hayao Miyazaki,4.38 out of 5,1133734,"Adventure, Fantasy, Animation"
Oldboy,2003,"Jeon Woo-jae, Yoo Ji-tae, Ju Myeong-cheol, Choi Min-sik, Oh Tae-kyung",Park Chan-wook,4.38 out of 5,1034428,"Thriller, Mystery, Drama, Action"
Witness for the Prosecution,1957,"Harry Denny, John Barton, Don Ames, Walter Bacon, Glen Walters",Billy Wilder,4.38 out of 5,85979,"Mystery, Crime, Drama"
Eternity and a Day,1998,"Iris Chatziantoniou, Eleni Gerasimidou, Themis Gousoulis, Yiannis Mohlas, Pemi Zouni",Theo Angelopoulos,4.38 out of 5,34420,Drama
The Lord of the Rings: The Fellowship of the Ring,2001,"Greg Lane, Bret McKenzie, Sacha Lee, David Weatherley, Phoebe Gittins",Peter Jackson,4.38 out of 5,1963572,"Fantasy, Adventure, Action"
Lawrence of Arabia,1962,"John Bennett, Bruce Beeby, I.S. Johar, Jack Gwillim, Michel Ray",David Lean,4.38 out of 5,243416,"Adventure, War, History"
